[2017-05-08 10:55:28,735: INFO/MainProcess] sync with worker1@SCAEfileshare
[2017-05-09 12:44:09,858: INFO/MainProcess] Received task: tasks.send_mail[a34b4b98-3a53-4b29-9b2f-3aadce2ea9ef]  
[2017-05-09 12:44:09,958: INFO/MainProcess] Received task: tasks.send_mail[1bb61ca5-a721-40e2-a65d-202126505bf4]  
[2017-05-09 12:44:10,058: INFO/MainProcess] Received task: tasks.send_mail[36e4a845-7ac4-4aab-a9af-87a0733fc765]  
[2017-05-09 12:44:10,158: INFO/MainProcess] Received task: tasks.send_mail[49cc7e82-4525-416c-8498-8567cfb3a9e9]  
[2017-05-09 12:44:10,257: INFO/MainProcess] Received task: tasks.send_mail[ac5f6be3-037d-4084-92d2-237f533e36d0]  
[2017-05-09 12:44:10,347: INFO/MainProcess] Received task: tasks.send_mail[355c5c7e-499b-4039-ae8f-957ba3a42a1e]  
[2017-05-09 12:44:10,447: INFO/MainProcess] Received task: tasks.send_mail[02b66019-26a4-4360-9788-7498e1ed933a]  
[2017-05-09 12:44:10,538: INFO/MainProcess] Received task: tasks.send_mail[1ead053f-4af5-4f48-a0b0-7633960c33e8]  
[2017-05-09 12:44:10,671: INFO/MainProcess] Received task: tasks.send_mail[1e57766a-b8ab-4b3e-b73b-194f7e75195e]  
[2017-05-09 12:44:10,761: INFO/MainProcess] Received task: tasks.send_mail[592cd47b-2e94-4fc6-ae4a-cfddc3130347]  
[2017-05-09 12:44:10,826: INFO/MainProcess] Received task: tasks.send_mail[b96799ee-c0a0-4640-8170-78c175417f5b]  
[2017-05-09 12:44:10,993: INFO/MainProcess] Received task: tasks.send_mail[d7a800bd-291b-4cd4-97b3-50ce2445db24]  
[2017-05-09 12:44:11,160: INFO/MainProcess] Received task: tasks.send_mail[08f1eb5b-5bcf-4e9f-9385-de3fdd7d2116]  
[2017-05-09 12:44:11,227: INFO/MainProcess] Received task: tasks.send_mail[cc2e70fe-993e-4385-8c9a-6838b88c975b]  
[2017-05-09 12:44:11,348: INFO/MainProcess] Received task: tasks.send_mail[5da8ec71-d5d5-4726-ae22-e1ea104cbe21]  
[2017-05-09 12:44:11,462: INFO/MainProcess] Received task: tasks.send_mail[e264d705-bdb9-4a75-a4a7-f0fcfc4c2fdc]  
[2017-05-09 12:44:11,561: INFO/MainProcess] Received task: tasks.send_mail[83748ff7-8e88-41c5-888b-74cdc543515f]  
[2017-05-09 12:44:11,674: INFO/MainProcess] Received task: tasks.send_mail[89540495-72ac-41bd-8043-0dc4cbb5ed2c]  
[2017-05-09 12:44:11,784: INFO/MainProcess] Received task: tasks.send_mail[e34006d6-ed5c-4d64-a81b-78679773f91e]  
[2017-05-09 12:44:11,893: INFO/MainProcess] Received task: tasks.send_mail[197f2f04-4deb-42e0-b880-4b5192589344]  
[2017-05-09 12:44:12,005: INFO/MainProcess] Received task: tasks.send_mail[cc7ec091-f236-4fc7-a4af-22aea555bd33]  
[2017-05-09 12:44:12,115: INFO/MainProcess] Received task: tasks.send_mail[724ea199-80b9-4ed9-9e66-5bea1959c5c5]  
[2017-05-09 12:44:12,230: INFO/MainProcess] Received task: tasks.send_mail[134fce03-e88c-414d-91ab-a8e21069af21]  
[2017-05-09 12:44:12,294: INFO/MainProcess] Received task: tasks.send_mail[b680ee6d-a282-44ee-be19-817ea0c0498c]  
[2017-05-09 12:44:12,361: INFO/MainProcess] Received task: tasks.send_mail[c2cab7cc-2ccd-4631-ab01-e7f9f92865e5]  
[2017-05-09 12:44:12,441: INFO/MainProcess] Received task: tasks.send_mail[4622a7bf-9925-4268-8eef-04d20e8ff8d0]  
[2017-05-09 12:44:12,518: INFO/MainProcess] Received task: tasks.send_mail[f5f4bd58-43cc-4c2d-b6a5-a39803d60207]  
[2017-05-09 12:44:12,594: INFO/MainProcess] Received task: tasks.send_mail[67432981-5500-4bfb-9052-91d38a7fcfb2]  
[2017-05-09 12:44:12,671: INFO/MainProcess] Received task: tasks.send_mail[ff4c6af6-ba0b-4a74-8b9d-bae7088829ec]  
[2017-05-09 12:44:12,750: INFO/MainProcess] Received task: tasks.send_mail[3a0d0a84-78c6-4bb6-8f5a-587544c651d9]  
[2017-05-09 12:44:12,830: INFO/MainProcess] Received task: tasks.send_mail[eb2cf33a-e3e3-458e-90f9-2424c8ed203e]  
[2017-05-09 12:44:12,908: INFO/MainProcess] Received task: tasks.send_mail[20f46e45-f62a-438b-a726-4c6d9912793a]  
[2017-05-09 12:44:12,986: INFO/MainProcess] Received task: tasks.send_mail[29b95133-9366-4af4-8968-10ce9c9d85ee]  
